symbol,disclosure_date,txn_type,qty,value,person_category,person_name,raw_json,raw_comName,raw_shp,raw_totIssuedShares,raw_totPromoterHolding,raw_percPromoterHolding,raw_totPublicHolding,raw_totPromoterShares,raw_percPromoterShares,raw_percTotShares,raw_disclosureFromDate,raw_numSharesPledged,raw_totDematShares,raw_sharesCollateral,raw_nbfcPromoShare,raw_nbfcNonPromoShare,raw_percSharesPledged,raw_broadcastDt,raw_disclosureToDate,raw_compBroadcastDate,raw_noOfPledgeShare,raw_noOfSecPledgeShare,fetched_at
,,,,,,,"{""comName"": ""20 Microns Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""35286502"", ""totPromoterHolding"": ""15893364"", ""percPromoterHolding"": ""    45.04"", ""totPublicHolding"": ""19393138"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""1678738"", ""totDematShares"": ""35280179"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""4.76"", ""broadcastDt"": ""30-Mar-2026 16:31:14"", ""disclosureToDate"": null, ""compBroadcastDate"": ""31-03-2015"", ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""35.719""}",20 Microns Limited,31-Dec-2025,35286502,15893364,    45.04,19393138,0,     0.00,     0.00,,1678738,35280179,0,0,0,4.76,30-Mar-2026 16:31:14,,31-03-2015,0,35.719,2026-03-30
,,,,,,,"{""comName"": ""21st Century Management Services Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""10500000"", ""totPromoterHolding"": ""6765193"", ""percPromoterHolding"": ""    64.43"", ""totPublicHolding"": ""3734807"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""51932"", ""totDematShares"": ""10311874"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""0.5"", ""broadcastDt"": ""30-Mar-2026 16:30:41"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""0.258""}",21st Century Management Services Limited,31-Dec-2025,10500000,6765193,    64.43,3734807,0,     0.00,     0.00,,51932,10311874,0,0,0,0.5,30-Mar-2026 16:30:41,,,0,0.258,2026-03-30
,,,,,,,"{""comName"": ""360 ONE WAM LIMITED"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""405270365"", ""totPromoterHolding"": ""25328244"", ""percPromoterHolding"": ""     6.25"", ""totPublicHolding"": ""379942121"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""5229519"", ""totDematShares"": ""406000706"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""1.29"", ""broadcastDt"": ""30-Mar-2026 16:31:27"", ""disclosureToDate"": null, ""compBroadcastDate"": ""31-12-2021"", ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""622.313""}",360 ONE WAM LIMITED,31-Dec-2025,405270365,25328244,     6.25,379942121,0,     0.00,     0.00,,5229519,406000706,0,0,0,1.29,30-Mar-2026 16:31:27,,31-12-2021,0,622.313,2026-03-30
,,,,,,,"{""comName"": ""3M India Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""11265070"", ""totPromoterHolding"": ""8448802"", ""percPromoterHolding"": ""    75.00"", ""totPublicHolding"": ""2816268"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""174003"", ""totDematShares"": ""11230724"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""1.55"", ""broadcastDt"": ""30-Mar-2026 16:30:43"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""611.012""}",3M India Limited,31-Dec-2025,11265070,8448802,    75.00,2816268,0,     0.00,     0.00,,174003,11230724,0,0,0,1.55,30-Mar-2026 16:30:43,,,0,611.012,2026-03-30
,,,,,,,"{""comName"": ""3P Land Holdings Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""18000000"", ""totPromoterHolding"": ""13194158"", ""percPromoterHolding"": ""    73.30"", ""totPublicHolding"": ""4805842"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""91381"", ""totDematShares"": ""17687975"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""0.52"", ""broadcastDt"": ""30-Mar-2026 16:30:36"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""0.335""}",3P Land Holdings Limited,31-Dec-2025,18000000,13194158,    73.30,4805842,0,     0.00,     0.00,,91381,17687975,0,0,0,0.52,30-Mar-2026 16:30:36,,,0,0.335,2026-03-30
,,,,,,,"{""comName"": ""63 moons technologies limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""46078537"", ""totPromoterHolding"": ""21025878"", ""percPromoterHolding"": ""    45.63"", ""totPublicHolding"": ""25052659"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""3357011"", ""totDematShares"": ""46034497"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""7.29"", ""broadcastDt"": ""30-Mar-2026 16:31:02"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""241.369""}",63 moons technologies limited,31-Dec-2025,46078537,21025878,    45.63,25052659,0,     0.00,     0.00,,3357011,46034497,0,0,0,7.29,30-Mar-2026 16:31:02,,,0,241.369,2026-03-30
,,,,,,,"{""comName"": ""A2Z Infra Engineering Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""176119858"", ""totPromoterHolding"": ""49560983"", ""percPromoterHolding"": ""    28.14"", ""totPublicHolding"": ""126558875"", ""totPromoterShares"": ""49402301"", ""percPromoterShares"": ""    99.68"", ""percTotShares"": ""    28.05"", ""disclosureFromDate"": null, ""numSharesPledged"": ""55346508"", ""totDematShares"": ""176115041"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""31.43"", ""broadcastDt"": ""30-Mar-2026 16:31:18"", ""disclosureToDate"": null, ""compBroadcastDate"": ""12-07-2017"", ""noOfPledgeShare"": ""82.156"", ""noOfSecPledgeShare"": ""92.041""}",A2Z Infra Engineering Limited,31-Dec-2025,176119858,49560983,    28.14,126558875,49402301,    99.68,    28.05,,55346508,176115041,0,0,0,31.43,30-Mar-2026 16:31:18,,12-07-2017,82.156,92.041,2026-03-30
,,,,,,,"{""comName"": ""ABB India Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""211908375"", ""totPromoterHolding"": ""158931281"", ""percPromoterHolding"": ""    75.00"", ""totPublicHolding"": ""52977094"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""1063892"", ""totDematShares"": ""211240186"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""0.5"", ""broadcastDt"": ""30-Mar-2026 16:30:37"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""550.032""}",ABB India Limited,31-Dec-2025,211908375,158931281,    75.00,52977094,0,     0.00,     0.00,,1063892,211240186,0,0,0,0.5,30-Mar-2026 16:30:37,,,0,550.032,2026-03-30
,,,,,,,"{""comName"": ""ACC Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""187787263"", ""totPromoterHolding"": ""106456927"", ""percPromoterHolding"": ""    56.69"", ""totPublicHolding"": ""81330336"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""3079180"", ""totDematShares"": ""185835787"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""1.66"", ""broadcastDt"": ""30-Mar-2026 16:30:23"", ""disclosureToDate"": null, ""compBroadcastDate"": ""30-10-2023"", ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""535.069""}",ACC Limited,31-Dec-2025,187787263,106456927,    56.69,81330336,0,     0.00,     0.00,,3079180,185835787,0,0,0,1.66,30-Mar-2026 16:30:23,,30-10-2023,0,535.069,2026-03-30
,,,,,,,"{""comName"": ""ADF Foods Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""109863595"", ""totPromoterHolding"": ""39698565"", ""percPromoterHolding"": ""    36.13"", ""totPublicHolding"": ""70165030"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""3845882"", ""totDematShares"": ""108385090"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""3.55"", ""broadcastDt"": ""30-Mar-2026 16:31:17"", ""disclosureToDate"": null, ""compBroadcastDate"": ""31-12-2024"", ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""78.437""}",ADF Foods Limited,31-Dec-2025,109863595,39698565,    36.13,70165030,0,     0.00,     0.00,,3845882,108385090,0,0,0,3.55,30-Mar-2026 16:31:17,,31-12-2024,0,78.437,2026-03-30
