symbol,ad_ratio,ad_grade,ad_accum_w,ad_dist_w,ad_active_days
NSE:JBMA-EQ,62.7890,A,221911230.00,3534240.00,24
NSE:MMTC-EQ,55.1296,A,745384295.00,13520578.00,21
NSE:ITI-EQ,29.6652,A,211845575.00,7141209.00,31
NSE:FACT-EQ,24.4324,A,75409658.50,3086457.50,28
NSE:ATGL-EQ,21.1000,A,217090480.00,10288646.50,28
NSE:MRPL-EQ,19.4190,A,996217795.00,51301208.00,29
NSE:JINDALSAW-EQ,17.0134,A,568609069.00,33421180.00,30
NSE:HONASA-EQ,14.5487,A,84172113.00,5785552.00,31
NSE:VTL-EQ,13.7679,A,42346054.50,3075706.00,28
NSE:IFCI-EQ,12.9962,A,1965428910.50,151230826.00,25
NSE:ALKYLAMINE-EQ,12.9032,A,9548803.00,740036.50,27
NSE:GMDCLTD-EQ,12.7120,A,232218086.50,18267593.00,27
NSE:DOMS-EQ,11.6476,A,11758053.50,1009486.50,31
NSE:HAPPSTMNDS-EQ,11.2132,A,187580136.50,16728571.00,28
NSE:PRAJIND-EQ,11.0732,A,206158749.50,18617733.50,30
NSE:TEJASNET-EQ,10.9397,A,672382708.50,61462814.00,27
NSE:CONCORDBIO-EQ,10.0617,A,25538306.00,2538166.00,28
NSE:GRAPHITE-EQ,9.4059,A,92922937.50,9879236.00,25
NSE:PCBL-EQ,8.8748,A,275463402.50,31038975.50,26
NSE:CREDITACC-EQ,8.7322,A,39002415.00,4466519.00,29
NSE:LINDEINDIA-EQ,8.5424,A,3674225.00,430117.00,31
NSE:KSB-EQ,8.3265,A,29993424.50,3602181.00,30
NSE:HINDCOPPER-EQ,8.1989,A,1400108133.50,170767774.50,28
NSE:TRIVENI-EQ,8.0945,A,34320976.50,4240046.50,24
NSE:ACMESOLAR-EQ,7.3240,A,70895063.00,9679851.00,29
NSE:KIRLOSBROS-EQ,6.8838,A,8729841.50,1268167.50,27
NSE:TATAINVEST-EQ,6.8726,A,50290723.00,7317579.00,29
NSE:BLS-EQ,6.6120,A,234633159.00,35486201.50,27
NSE:ASAHIINDIA-EQ,6.5840,A,20826555.50,3163226.00,31
NSE:NTPCGREEN-EQ,6.4989,A,674754850.50,103826734.50,29
NSE:ABSLAMC-EQ,6.1669,A,24142874.50,3914914.00,27
NSE:EIHOTEL-EQ,6.1521,A,48450683.00,7875455.50,29
NSE:JWL-EQ,5.9424,A,254313933.50,42796362.50,25
NSE:TRIDENT-EQ,5.8067,A,678616289.00,116867908.00,24
NSE:AARTIIND-EQ,5.4741,A,47331979.00,8646575.50,30
NSE:SJVN-EQ,5.4282,A,493832317.00,90975242.50,30
NSE:ENGINERSIN-EQ,5.3049,A,262446860.00,49472210.00,30
NSE:JPPOWER-EQ,5.2785,A,2404028848.00,455437567.00,30
NSE:KIRLOSENG-EQ,5.1322,A,18750581.00,3653513.00,32
NSE:OLECTRA-EQ,5.0195,A,49217166.00,9805141.00,30
NSE:EMCURE-EQ,4.9654,A,10364024.50,2087265.00,26
NSE:GODREJAGRO-EQ,4.7878,A,15872511.50,3315210.50,29
NSE:DEVYANI-EQ,4.7642,A,281223825.00,59028199.00,28
NSE:PFIZER-EQ,4.6061,A,1801150.50,391033.50,35
NSE:HEG-EQ,4.5440,A,170175356.50,37450401.50,28
NSE:FIRSTCRY-EQ,4.5205,A,253413232.00,56059201.50,31
NSE:KPRMILL-EQ,4.4475,A,29678795.50,6673151.00,25
NSE:SCI-EQ,4.3904,A,258296878.50,58832051.50,30
NSE:NEWGEN-EQ,4.3611,A,202040926.50,46327713.00,31
NSE:BALRAMCHIN-EQ,4.3590,A,29192331.00,6696984.50,32
NSE:CHENNPETRO-EQ,4.3425,A,94131059.50,21676629.00,30
NSE:RCF-EQ,4.3339,A,152954340.50,35292396.50,29
NSE:REDINGTON-EQ,4.3090,A,287204281.50,66652803.00,30
NSE:ONGC-EQ,4.2546,A,767133794.00,180307500.00,26
NSE:NIVABUPA-EQ,4.1631,A,79027517.00,18982919.00,29
NSE:AKUMS-EQ,4.1441,A,6889877.50,1662559.00,27
NSE:KARURVYSYA-EQ,4.0946,A,199506378.00,48723936.00,28
NSE:J&KBANK-EQ,4.0035,A,224066182.50,55966908.50,28
NSE:SYRMA-EQ,3.8404,A,47402708.00,12343031.50,26
NSE:GESHIP-EQ,3.7681,A,24014655.00,6373156.50,30
NSE:AWL-EQ,3.7019,A,131575016.00,35542975.00,25
NSE:NETWEB-EQ,3.6940,A,76372268.50,20674752.50,26
NSE:IRCON-EQ,3.6249,A,263000162.50,72553485.50,32
NSE:JSWCEMENT-EQ,3.5727,A,126547619.00,35421104.50,27
NSE:FINCABLES-EQ,3.5590,A,18840570.50,5293852.50,28
NSE:IGIL-EQ,3.4782,A,32981591.00,9482364.00,25
NSE:SAREGAMA-EQ,3.4479,A,21939894.00,6363275.00,32
NSE:FORCEMOT-EQ,3.4070,A,4967350.50,1457987.00,35
NSE:NATCOPHARM-EQ,3.4061,A,64799933.00,19024795.00,30
NSE:BLUEDART-EQ,3.3905,A,1419327.50,418613.50,30
NSE:DBREALTY-EQ,3.3451,A,106838027.00,31938704.50,33
NSE:COALINDIA-EQ,3.2808,A,456001613.50,138993049.00,30
NSE:JBCHEPHARM-EQ,3.2752,A,11962594.50,3652514.50,27
NSE:SCHAEFFLER-EQ,3.2696,A,4286457.50,1310992.00,32
NSE:GPIL-EQ,3.2498,A,88187236.50,27136418.50,30
NSE:IPCALAB-EQ,3.2396,A,8176961.50,2524028.50,29
NSE:APARINDS-EQ,3.2296,A,5042239.00,1561260.00,29
NSE:ASTRAL-EQ,3.2128,A,23465370.00,7303713.50,29
NSE:OIL-EQ,3.1645,A,238952533.00,75511294.00,27
NSE:INDIANB-EQ,3.1077,A,79002180.50,25421241.50,30
NSE:ELGIEQUIP-EQ,3.0962,A,25872947.50,8356376.50,28
NSE:SAILIFE-EQ,3.0814,A,24001441.00,7789208.00,27
NSE:USHAMART-EQ,2.9782,A,21169692.00,7108249.00,28
NSE:ABB-EQ,2.8771,A,15592167.00,5419333.00,28
NSE:HFCL-EQ,2.8435,A,1136603667.50,399718452.00,29
NSE:SAIL-EQ,2.8304,A,981213503.50,346668753.00,30
NSE:SARDAEN-EQ,2.7967,A,21632115.00,7734734.00,30
NSE:ANANTRAJ-EQ,2.7830,A,111858881.00,40193006.00,30
NSE:AJANTPHARM-EQ,2.7555,A,5694423.00,2066532.50,29
