symbol	last_close	anchor	pct_eod_proxy	last_tag_d
NSE:360ONE-EQ	1046.8000	1170.1000	-10.5376	RST
NSE:3MINDIA-EQ	33175.0000	33260.0000	-0.2556	B1
NSE:AADHARHFC-EQ	488.7500	483.7000	+1.0440	E9CT5
NSE:AARTIIND-EQ	502.3500	480.2000	+4.6127	B3
NSE:AAVAS-EQ	1382.1000	1374.9000	+0.5237	E9CT2
NSE:ABB-EQ	7264.5000	7319.5000	-0.7514	E9CT1
NSE:ABBOTINDIA-EQ	25475.0000	29900.0000	-14.7993	RST
NSE:ABCAPITAL-EQ	348.4500	342.9500	+1.6037	E21C2
NSE:ABFRL-EQ	65.0500	85.6000	-24.0070	RST
NSE:ABLBL-EQ	104.9300	102.4900	+2.3807	E21C1
NSE:ABREL-EQ	1550.4000	1485.0000	+4.4040	B3
NSE:ABSLAMC-EQ	1024.1000	1062.5500	-3.6187	ET9DNWF21C
NSE:ACC-EQ	1436.6000	1865.0000	-22.9705	RST
NSE:ACE-EQ	899.0000	929.9000	-3.3229	ET9DNWF21C
NSE:ACMESOLAR-EQ	303.1000	291.3500	+4.0330	E9CT4
NSE:ADANIENSOL-EQ	1418.1500	1389.4500	+2.0656	B5+E9CT
NSE:ADANIENT-EQ	2425.9000	2337.0000	+3.8040	B4
NSE:ADANIGREEN-EQ	1244.8000	1195.0000	+4.1674	E9CT1
NSE:ADANIPORTS-EQ	1661.1000	1649.9000	+0.6788	B3
NSE:ADANIPOWER-EQ	219.2800	217.2500	+0.9344	B7
NSE:AEGISLOG-EQ	709.7000	679.0000	+4.5214	B1
NSE:AEGISVOPAK-EQ	194.5800	197.5500	-1.5034	ET9DNWF21C
NSE:AFCONS-EQ	326.4500	327.3000	-0.2597	E21C1
NSE:AFFLE-EQ	1433.1000	1805.0000	-20.6039	RST
NSE:AGARWALEYE-EQ	442.0000	455.9500	-3.0595	ET9DNWF21C
NSE:AIAENG-EQ	3937.2000	3792.0000	+3.8291	ET9DNWF21C
NSE:AIIL-EQ	486.7000	480.0000	+1.3958	B1
NSE:AJANTPHARM-EQ	2804.2000	3081.6000	-9.0018	RST
NSE:AKUMS-EQ	543.7000	519.6000	+4.6382	E9CT5
