bar,i_idx,dir,tag,option_a_valid,option_a_ema,symbol,optA_week_plus_1,optA_week_plus_2,optA_week_plus_3,optA_any_of_next_3_weeks,optA_first_forward_week
2020-03-20,26,bearish,CHoCH,False,,360ONE,False,False,False,False,
2021-07-16,95,bullish,CHoCH,True,9.0,360ONE,False,True,False,True,2.0
2022-06-17,143,bearish,CHoCH,False,,360ONE,False,True,False,True,2.0
2022-09-09,155,bullish,CHoCH,True,10.0,360ONE,True,False,True,True,1.0
2023-03-17,182,bearish,CHoCH,False,,360ONE,False,False,True,True,3.0
2023-06-23,196,bullish,CHoCH,True,10.0,360ONE,False,False,False,False,
2025-02-14,282,bearish,CHoCH,False,,360ONE,False,True,False,True,2.0
2025-06-13,299,bullish,CHoCH,True,20.0,360ONE,False,False,False,False,
2026-03-13,338,bearish,CHoCH,False,,360ONE,True,False,False,True,1.0
2016-11-25,34,bearish,CHoCH,False,,3MINDIA,False,False,False,False,
2017-05-19,59,bullish,CHoCH,False,,3MINDIA,False,False,False,False,
2019-10-04,183,bearish,CHoCH,True,10.0,3MINDIA,False,False,False,False,
2020-02-07,201,bullish,CHoCH,True,20.0,3MINDIA,False,False,False,False,
2020-02-28,204,bearish,CHoCH,False,,3MINDIA,False,True,False,True,2.0
2020-07-17,224,bullish,CHoCH,False,,3MINDIA,False,False,False,False,
2021-08-13,280,bearish,CHoCH,True,20.0,3MINDIA,True,False,False,True,1.0
2023-05-19,372,bullish,CHoCH,True,10.0,3MINDIA,False,True,False,True,2.0
2024-03-15,415,bearish,CHoCH,False,,3MINDIA,False,True,True,True,2.0
2025-07-25,486,bullish,CHoCH,True,9.0,3MINDIA,False,True,True,True,2.0
2026-01-23,512,bearish,CHoCH,True,9.0,3MINDIA,False,False,False,False,
2026-02-27,517,bullish,CHoCH,False,,3MINDIA,True,False,False,True,1.0
2026-03-20,520,bearish,CHoCH,False,,3MINDIA,False,False,False,False,
2017-03-31,52,bullish,CHoCH,True,10.0,ABB,False,False,False,False,
2017-08-11,71,bearish,CHoCH,True,10.0,ABB,False,False,False,False,
2018-01-19,94,bullish,CHoCH,False,,ABB,False,False,False,False,
2018-03-23,103,bearish,CHoCH,False,,ABB,False,False,False,False,
2018-08-24,125,bullish,CHoCH,True,10.0,ABB,False,True,False,True,2.0
2019-12-20,194,bearish,CHoCH,True,20.0,ABB,False,False,True,True,3.0
2020-11-20,242,bullish,CHoCH,False,,ABB,False,False,False,False,
2022-02-18,307,bearish,CHoCH,True,20.0,ABB,True,True,True,True,1.0
2022-07-08,327,bullish,CHoCH,True,10.0,ABB,False,False,False,False,
2024-11-08,449,bearish,CHoCH,False,,ABB,False,False,True,True,3.0
2026-01-30,513,bullish,CHoCH,True,9.0,ABB,True,False,False,True,1.0
2017-01-27,43,bullish,CHoCH,True,9.0,ACC,True,True,False,True,1.0
2018-02-16,98,bearish,CHoCH,False,,ACC,False,False,False,False,
2018-08-24,125,bullish,CHoCH,False,,ACC,False,True,True,True,2.0
2019-08-23,177,bearish,CHoCH,True,20.0,ACC,True,False,True,True,1.0
2020-10-09,236,bullish,CHoCH,False,,ACC,False,False,False,False,
2021-12-24,299,bearish,CHoCH,False,,ACC,False,False,False,False,
2022-09-16,337,bullish,CHoCH,False,,ACC,False,True,True,True,2.0
2023-01-27,356,bearish,CHoCH,True,20.0,ACC,False,False,False,False,
2023-07-28,382,bullish,CHoCH,True,10.0,ACC,False,False,True,True,3.0
2024-10-25,447,bearish,CHoCH,False,,ACC,True,True,False,True,1.0
2025-05-16,26,bullish,CHoCH,False,,ACMESOLAR,False,False,False,False,
2025-11-14,52,bearish,CHoCH,False,,ACMESOLAR,False,False,False,False,
2026-03-13,69,bullish,CHoCH,True,10.0,ACMESOLAR,False,True,False,True,2.0
2017-05-19,59,bearish,CHoCH,True,9.0,AIAENG,True,False,True,True,1.0
2017-12-08,88,bullish,CHoCH,False,,AIAENG,False,False,False,False,
2019-08-16,176,bearish,CHoCH,False,,AIAENG,False,False,False,False,
2020-02-07,201,bullish,CHoCH,False,,AIAENG,False,True,True,True,2.0
2020-03-20,207,bearish,CHoCH,True,20.0,AIAENG,False,False,False,False,
2020-08-28,230,bullish,CHoCH,False,,AIAENG,False,True,True,True,2.0
2021-02-19,255,bearish,CHoCH,True,9.0,AIAENG,False,True,False,True,2.0
2021-06-25,273,bullish,CHoCH,True,10.0,AIAENG,False,False,True,True,3.0
2021-10-08,288,bearish,CHoCH,True,20.0,AIAENG,False,False,True,True,3.0
2022-05-27,321,bullish,CHoCH,True,20.0,AIAENG,False,False,False,False,
2024-11-15,450,bearish,CHoCH,False,,AIAENG,False,False,False,False,
2025-11-14,502,bullish,CHoCH,True,10.0,AIAENG,False,False,False,False,
2018-06-01,113,bearish,CHoCH,False,,APLAPOLLO,False,False,False,False,
2019-03-08,153,bullish,CHoCH,False,,APLAPOLLO,False,False,False,False,
2020-03-27,208,bearish,CHoCH,False,,APLAPOLLO,False,False,False,False,
2020-08-21,229,bullish,CHoCH,False,,APLAPOLLO,False,False,False,False,
2023-05-19,372,bearish,CHoCH,True,10.0,APLAPOLLO,False,False,False,False,
2023-06-16,376,bullish,CHoCH,False,,APLAPOLLO,False,False,False,False,
2024-01-26,408,bearish,CHoCH,True,20.0,APLAPOLLO,True,False,False,True,1.0
2024-05-17,424,bullish,CHoCH,True,21.0,APLAPOLLO,False,False,True,True,3.0
2024-09-06,440,bearish,CHoCH,True,10.0,APLAPOLLO,True,True,False,True,1.0
2025-05-09,475,bullish,CHoCH,False,,APLAPOLLO,False,False,False,False,
2018-08-31,59,bullish,CHoCH,False,,AUBANK,True,True,False,True,1.0
2018-09-28,63,bearish,CHoCH,False,,AUBANK,False,False,True,True,3.0
2019-05-24,97,bullish,CHoCH,False,,AUBANK,False,False,False,False,
2020-03-20,140,bearish,CHoCH,True,9.0,AUBANK,False,False,False,False,
2020-11-13,174,bullish,CHoCH,False,,AUBANK,False,False,False,False,
2021-12-24,232,bearish,CHoCH,False,,AUBANK,False,False,False,False,
2022-02-04,238,bullish,CHoCH,False,,AUBANK,False,True,True,True,2.0
2023-03-24,297,bearish,CHoCH,False,,AUBANK,False,False,False,False,
2023-05-12,304,bullish,CHoCH,False,,AUBANK,False,False,False,False,
2023-10-27,328,bearish,CHoCH,False,,AUBANK,False,False,False,False,
2023-12-22,336,bullish,CHoCH,True,10.0,AUBANK,False,True,False,True,2.0
2024-02-02,342,bearish,CHoCH,False,,AUBANK,False,False,False,False,
2024-09-06,373,bullish,CHoCH,False,,AUBANK,False,False,False,False,
2024-11-08,382,bearish,CHoCH,False,,AUBANK,False,False,False,False,
2025-04-25,406,bullish,CHoCH,False,,AUBANK,False,False,False,False,
2023-05-26,67,bullish,CHoCH,True,9.0,AWL,False,False,False,False,
2023-09-01,81,bearish,CHoCH,False,,AWL,False,False,False,False,
2024-08-02,129,bullish,CHoCH,True,10.0,AWL,False,True,True,True,2.0
