symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,exit_reason
360ONE,2020-02-14,2020-02-21,396.61,368.84729999999996,-7.000000000000018,1,HARD7
360ONE,2020-12-11,2020-12-25,261.54,243.2322,-7.000000000000006,2,HARD7
360ONE,2021-02-05,2021-04-23,282.63,273.81,-3.120687825071644,11,ATR
360ONE,2021-07-16,2021-07-30,347.23,322.9239,-7.000000000000006,2,HARD7
360ONE,2021-08-06,2021-08-20,406.99,378.5007,-7.000000000000006,2,HARD7
360ONE,2022-04-08,2022-04-29,452.59,420.90869999999995,-7.000000000000006,3,HARD7
360ONE,2022-09-09,2023-03-24,437.3,406.68899999999996,-7.000000000000006,28,HARD7
360ONE,2023-07-07,2024-02-02,481.95,604.95,25.52131963896671,30,ATR
360ONE,2024-04-19,2024-05-10,790.6,735.2579999999999,-7.000000000000018,3,HARD7
360ONE,2024-06-28,2025-01-31,980.15,1007.75,2.815895526194967,31,ATR
360ONE,2025-06-13,2025-08-01,1140.5,1060.665,-7.000000000000006,7,HARD7
360ONE,2025-10-17,2025-10-31,1164.9,1083.357,-7.000000000000006,2,HARD7
3MINDIA,2016-07-29,2016-08-05,14619.7,13596.321,-7.000000000000006,1,HARD7
3MINDIA,2017-05-12,2018-09-28,12609.2,22568.1,78.98122006154233,72,ATR
3MINDIA,2019-03-08,2019-03-29,24848.2,23108.826,-6.999999999999995,3,HARD7
3MINDIA,2020-01-31,2020-02-28,22981.2,21372.516,-7.000000000000006,4,HARD7
3MINDIA,2020-07-24,2020-09-04,21492.2,19987.746,-7.000000000000006,6,HARD7
3MINDIA,2020-11-20,2021-01-29,21784.8,20259.863999999998,-7.000000000000006,10,HARD7
3MINDIA,2021-03-05,2021-04-30,25701.2,25537.9,-0.6353788928143422,8,ATR
3MINDIA,2021-10-15,2021-12-03,26013.1,24192.182999999997,-7.000000000000006,7,HARD7
3MINDIA,2022-08-05,2022-09-02,23702.2,22043.046,-7.000000000000006,4,HARD7
3MINDIA,2022-09-30,2022-10-14,24606.3,22883.858999999997,-7.000000000000006,2,HARD7
3MINDIA,2023-05-26,2024-02-09,24216.6,32642.7,34.79472758355839,37,ATR
3MINDIA,2024-06-14,2024-10-04,36489.25,33935.002499999995,-7.000000000000018,16,HARD7
3MINDIA,2025-07-25,2025-09-26,31230.0,29043.899999999998,-7.000000000000006,9,HARD7
3MINDIA,2025-11-07,2026-01-23,35580.0,33089.399999999994,-7.000000000000018,11,HARD7
AADHARHFC,2024-09-27,2024-10-04,488.35,454.1655,-7.000000000000006,1,HARD7
AADHARHFC,2025-04-04,2025-04-11,449.85,418.3605,-7.000000000000006,1,HARD7
AADHARHFC,2025-04-18,2025-04-25,485.35,451.3755,-7.000000000000006,1,HARD7
AADHARHFC,2025-07-18,2026-01-09,504.7,475.95,-5.696453338617003,25,ATR
AARTIDRUGS,2022-10-07,2022-10-14,496.0,461.28,-7.000000000000006,1,HARD7
AARTIDRUGS,2023-07-14,2023-10-06,498.0,523.4,5.1004016064257085,12,ATR
AARTIDRUGS,2024-01-19,2024-02-02,532.35,495.08549999999997,-7.000000000000006,2,HARD7
AARTIDRUGS,2024-06-14,2024-10-25,521.2,484.716,-7.000000000000006,19,HARD7
AARTIDRUGS,2025-07-18,2025-08-01,523.2,486.576,-7.000000000000006,2,HARD7
AARTIIND,2016-07-22,2017-08-25,137.89,210.44,52.6144027848285,57,ATR
AARTIIND,2017-12-22,2018-01-05,282.38,262.61339999999996,-7.000000000000018,2,HARD7
AARTIIND,2018-04-13,2018-06-08,308.27,293.4,-4.823693515424788,8,ATR
AARTIIND,2018-08-10,2018-09-14,348.33,323.94689999999997,-7.000000000000006,5,HARD7
AARTIIND,2018-11-16,2019-02-15,359.04,356.58,-0.6851604278074963,13,ATR
AARTIIND,2019-05-24,2019-07-12,449.64,418.16519999999997,-7.000000000000006,7,HARD7
AARTIIND,2020-01-31,2020-03-13,492.55,458.07149999999996,-7.000000000000006,6,HARD7
AARTIIND,2020-05-01,2020-05-15,551.2,512.616,-7.000000000000006,2,HARD7
AARTIIND,2020-08-07,2020-08-14,533.85,496.4805,-7.000000000000006,1,HARD7
AARTIIND,2020-08-21,2020-08-28,588.05,546.8865,-6.999999999999995,1,HARD7
AARTIIND,2020-11-27,2021-02-12,577.65,537.2144999999999,-7.000000000000006,11,HARD7
AARTIIND,2021-04-09,2021-10-29,702.05,964.1,37.326401253472,29,ATR
AARTIIND,2022-01-07,2022-01-28,1030.95,958.7835,-7.000000000000006,3,HARD7
AARTIIND,2022-09-09,2022-09-30,859.8,799.6139999999999,-7.000000000000006,3,HARD7
AARTIIND,2023-12-01,2024-05-17,553.3,628.3,13.555033435749152,24,ATR
AARTIIND,2024-08-02,2024-08-16,738.4,686.712,-6.999999999999995,2,HARD7
AARTIPHARM,2023-04-21,2023-05-26,364.3,338.799,-7.000000000000006,5,HARD7
AARTIPHARM,2023-09-08,2023-10-13,450.2,418.686,-7.000000000000006,5,HARD7
AARTIPHARM,2023-12-08,2024-03-15,466.75,434.0775,-7.000000000000006,14,HARD7
AARTIPHARM,2024-05-17,2024-05-24,614.0,571.02,-7.000000000000006,1,HARD7
AARTIPHARM,2025-02-07,2025-03-07,740.85,688.9905,-7.000000000000006,4,HARD7
AARTIPHARM,2025-05-23,2025-08-08,866.4,805.752,-7.000000000000006,11,HARD7
AAVAS,2019-02-15,2020-03-20,897.45,1310.15,45.98584879380467,57,ATR
AAVAS,2020-08-28,2020-09-04,1521.25,1414.7624999999998,-7.000000000000018,1,HARD7
