symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held
360ONE,2020-02-14,2020-03-13,396.61,308.19,-22.293941151256902,4
360ONE,2020-12-11,2021-04-23,261.54,273.81,4.691442991511807,19
360ONE,2021-07-16,2021-12-17,347.23,337.3,-2.859775941018927,22
360ONE,2022-04-08,2022-05-13,452.59,364.21,-19.5276077686206,5
360ONE,2022-09-09,2023-04-21,437.3,407.0,-6.928881774525497,32
360ONE,2023-07-07,2024-02-02,481.95,604.95,25.52131963896671,30
360ONE,2024-04-19,2025-01-31,790.6,1007.75,27.466481153554255,41
360ONE,2025-06-13,2025-08-08,1140.5,1042.8,-8.566418237615082,8
360ONE,2025-10-17,2026-03-13,1164.9,1027.4,-11.803588290840416,21
3MINDIA,2016-07-29,2016-09-30,14619.7,12883.9,-11.873020650218546,9
3MINDIA,2017-05-12,2018-09-28,12609.2,22568.1,78.98122006154233,72
3MINDIA,2019-03-08,2019-07-12,24848.2,21930.2,-11.74330535008572,18
3MINDIA,2020-01-31,2020-02-28,22981.2,20575.2,-10.469427183959057,4
3MINDIA,2020-07-24,2020-09-11,21492.2,18569.0,-13.601213463489081,7
3MINDIA,2020-11-20,2021-01-29,21784.8,19161.5,-12.041882413425874,10
3MINDIA,2021-03-05,2021-04-30,25701.2,25537.9,-0.6353788928143422,8
3MINDIA,2021-10-15,2022-02-11,26013.1,23061.8,-11.345437491110244,17
3MINDIA,2022-08-05,2024-02-09,23702.2,32642.7,37.720127245572144,79
3MINDIA,2024-06-14,2024-10-04,36489.25,34329.85,-5.917907328870831,16
3MINDIA,2025-07-25,2026-03-20,31230.0,32270.0,3.3301312840217756,34
AADHARHFC,2024-09-27,2025-01-24,488.35,384.65,-21.23477014436368,17
AADHARHFC,2025-04-04,2026-01-09,449.85,475.95,5.801933977992646,40
AARTIDRUGS,2022-10-07,2023-01-27,496.0,410.15,-17.308467741935484,16
AARTIDRUGS,2023-07-14,2023-10-06,498.0,523.4,5.1004016064257085,12
AARTIDRUGS,2024-01-19,2024-03-15,532.35,452.75,-14.952568798722643,8
AARTIDRUGS,2024-06-14,2024-10-25,521.2,474.7,-8.92171910974675,19
AARTIDRUGS,2025-07-18,2025-11-21,523.2,442.1,-15.500764525993882,18
AARTIIND,2016-07-22,2017-08-25,137.89,210.44,52.6144027848285,57
AARTIIND,2017-12-22,2018-06-08,282.38,293.4,3.902542672993836,24
AARTIIND,2018-08-10,2018-09-28,348.33,290.55,-16.587718542761166,7
AARTIIND,2018-11-16,2019-02-15,359.04,356.58,-0.6851604278074963,13
AARTIIND,2019-05-24,2019-07-19,449.64,409.68,-8.887109687750193,8
AARTIIND,2020-01-31,2020-03-13,492.55,436.3,-11.420160389808142,6
AARTIIND,2020-05-01,2021-10-29,551.2,964.1,74.90928882438314,78
AARTIIND,2022-01-07,2022-02-18,1030.95,957.95,-7.080847761773123,6
AARTIIND,2022-09-09,2022-09-30,859.8,745.05,-13.346127006280529,3
AARTIIND,2023-12-01,2024-05-17,553.3,628.3,13.555033435749152,24
AARTIIND,2024-08-02,2024-08-16,738.4,603.25,-18.303087757313108,2
AARTIPHARM,2023-04-21,2023-11-03,364.3,391.5,7.466373867691467,28
AARTIPHARM,2023-12-08,2024-03-15,466.75,444.15,-4.841992501339054,14
AARTIPHARM,2024-05-17,2024-12-20,614.0,570.95,-7.011400651465793,31
AARTIPHARM,2025-02-07,2025-08-15,740.85,757.55,2.2541675102922154,27
AAVAS,2019-02-15,2020-03-20,897.45,1310.15,45.98584879380467,57
AAVAS,2020-08-28,2021-08-20,1521.25,2381.65,56.558751027115875,51
AAVAS,2021-10-15,2021-12-24,2868.45,2465.55,-14.04591329812267,10
AAVAS,2022-02-04,2022-03-25,3054.4,2198.05,-28.03660293347302,7
AAVAS,2023-09-29,2023-10-27,1739.3,1547.35,-11.036048985223946,4
AAVAS,2024-06-14,2024-11-22,1853.8,1637.4,-11.673319667709558,23
AAVAS,2025-03-14,2025-05-02,1872.45,1844.9,-1.4713343480466712,7
ABB,2017-02-10,2017-08-11,1258.0,1343.05,6.760731319554836,26
ABB,2018-01-12,2018-03-09,1477.8,1437.7,-2.713493030179992,8
ABB,2018-09-14,2018-10-26,1448.4,1232.65,-14.895747031206852,6
ABB,2019-04-05,2019-07-19,1377.55,1415.1,2.725853871002859,15
ABB,2020-11-20,2022-03-25,1116.05,1989.3,78.24470229828412,70
ABB,2022-07-08,2022-12-16,2589.1,2838.5,9.632690896450512,23
ABB,2023-02-10,2023-10-20,3166.3,4015.3,26.81363105201655,36
ABB,2023-12-08,2024-07-19,4746.8,7620.5,60.53973202999916,32
ABB,2024-10-11,2024-10-25,8553.7,7521.65,-12.065538889603344,2
ABBOTINDIA,2016-10-28,2016-11-18,4998.6,4536.75,-9.239587084383638,3
ABBOTINDIA,2017-11-10,2018-10-19,4511.2,7224.95,60.155834367795705,49
ABBOTINDIA,2019-01-11,2019-02-22,8083.45,7230.55,-10.551187920999073,6
ABBOTINDIA,2019-06-14,2021-01-22,8606.7,14399.9,67.31035123798898,84
ABBOTINDIA,2021-05-07,2021-08-06,15850.4,17506.1,10.445793166103057,13
ABBOTINDIA,2021-09-10,2021-12-03,20706.9,18997.7,-8.25425341311351,12
ABBOTINDIA,2022-07-01,2022-08-26,19100.4,18577.1,-2.739733199304739,8
ABBOTINDIA,2022-11-04,2023-02-17,19481.8,20216.2,3.76967220688027,15
ABBOTINDIA,2023-04-07,2023-05-19,22880.9,20898.4,-8.66443190608761,6
ABBOTINDIA,2023-06-30,2024-04-05,23419.2,26636.9,13.739581198332985,40
ABBOTINDIA,2024-08-30,2025-01-31,30195.85,26173.3,-13.321532594710861,22
