symbol,raw_company,raw_acquirerName,raw_promoterType,txn_type,raw_noOfShareAcq,raw_noOfShareSale,raw_timestamp,first_seen_utc,last_refreshed_utc,fetched_at_utc,is_new
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited,SCM Commercial Private Limited,Y,Acquisition,7400000,,23-Apr-2026 20:55,2026-04-23 15:27:34 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
GAYAPROJ,Gayatri Projects Limited,T.V.Sandeep Kumar Reddy,Y,Acquisition,100000000,,23-Apr-2026 20:54,2026-04-23 15:27:34 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
CARERATING,CARE Ratings Limited,"Pari Washington India Master Fund, Ltd",N,Sale,,76817,23-Apr-2026 20:54,2026-04-23 15:24:32 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
GAYAPROJ,Gayatri Projects Limited,"Vivek Mundra, Aniruddh Mundra",N,Acquisition,24000000,,23-Apr-2026 20:53,2026-04-23 15:24:32 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited,Robust Marketing Services Private Limited,Y,Sale,,7400000,23-Apr-2026 20:53,2026-04-23 15:24:32 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
TEJASNET,Tejas Networks Limited,Nippon India Mutual Fund,N,Sale,,214882,23-Apr-2026 20:52,2026-04-23 15:24:32 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
JIOFIN,Jio Financial Services Limited,Jamnagar Utilities & Power Private Limited,Y,Acquisition,125000000,,23-Apr-2026 14:18,2026-04-23 08:51:17 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
JIOFIN,Jio Financial Services Limited,Sikka Ports & Terminals Limited,Y,Acquisition,125000000,,23-Apr-2026 14:18,2026-04-23 08:51:17 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
INNOVISION,Innovision Limited,"Neomile Corporate Advisory Limited, Kirtan Rupareliya, Neomile Growth Fund Series I, Neomile India Opportunity Fund",N,Acquisition,1691738,,23-Apr-2026 14:18,2026-04-23 08:51:17 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
INNOVISION,Innovision Limited,"Neomile Corporate Advisory Ltd,",N,Acquisition,1691738,,23-Apr-2026 10:42,2026-04-23 05:15:07 UTC,2026-04-26 14:47:28 UTC,2026-04-26 14:47:28 UTC,0
