symbol,company_name,page
501833,Chowgule Steam,4
501848,Global Offshore,3
504380,Flomic Global,3
507984,SER Industries,3
512277,Autoriders Intl.,3
520123,ABC India,4
520127,Balurghat Tech,4
520131,Coastal Roadways,5
523116,Sanco Trans,3
526508,Shahi Shipping,4
526622,MFL India,5
530259,Inter State Oil,5
531977,Chart.Logistics,4
532042,Frontline Corp.,5
533289,Kesar Terminals,4
539956,TAAL Tech,1
540006,East WestFreight,4
540597,Containerway Int,4
540738,Shreeji Translog,4
543618,Cargotrans Marit,3
543621,Cargosol Logist.,4
543754,Transvoy Logist.,4
544056,Sahara Maritime,5
544156,Gconnect Logitec,5
544224,Afcom Holdings,1
544237,Rapid Multimodal,4
544348,GB Logistics,4
544378,PDP Shipping,4
544383,Paradeep Pari.,2
544474,BLT Logi.,5
544556,Dhillon Freight,5
544566,Sunsky Logistics,3
544646,Shipwaves Online,4
544663,Neptune Logitek,4
544665,Global Ocean,3
ABSMARINE,ABS Marine,2
ACCURACY,Accuracy Shippi.,4
ALLCARGO,Allcargo Logist.,1
AMIABLE,Amiable Logistic,5
ARSHIYA,Arshiya,4
ARVINDPORT,Arvind Port &,4
ASHALOG,Ashapura Logi.,3
ASHWINI,Ashwini Contain.,2
ASPINWALL,Aspinwall & Co,3
AVG,AVG Logistics,2
BLACKBUCK,Blackbuck,1
BLUEDART,Blue Dart Expres,1
BLUEWATER,Blue Water,3
BRACEPORT,Brace Port,4
COMMITTED,Committed Cargo,2
CONCOR,Container Corpn.,1
DECCANTRAN,Deccan Transcon,4
DELHIVERY,Delhivery,1
DESTINY,Destiny Logistic,3
DJML,DJ Mediaprint,2
DRSCARGO,DRS Cargo Movers,5
DRSDILIP,DRS Dilip Road,3
ECOSMOBLTY,Ecos (India),2
ESSARSHPNG,Essar Shipping,2
FLYSBS,FlySBS Aviation,2
GATEWAY,Gateway Distri,1
GESHIP,GE Shipping Co,1
GICL,Globe Intl. Car.,2
GLOBALVECT,Global Vectra,3
GLOTTIS,Glottis,2
INDIGO,Interglobe Aviat,1
IWARE,Iware Supplych.,2
JALAN,Jalan Transol.,5
JAYESH,Jayesh Logistics,3
JETFREIGHT,Jet Freight,3
KERNEX,Kernex Microsys.,1
LANCER,Lancer Containe.,2
MAHLOG,Mahindra Logis.,1
MARINETRAN,Marinetrans Indi,4
NAVKARCORP,Navkar Corporat.,1
NECCLTD,North Eastn.Car.,3
OBCL,Orissa Bengal,3
OLIL,OneClick Logisti,2
OMFREIGHT,Om Freight Forwa,2
PATINTLOG,Patel Integrated,4
PRANIK,Pranik Logistics,4
PRLIND,Premier Roadline,3
RAPIDFLEET,Rapid Fleet,3
RIIL,Rel. Indl. Infra,1
RITCO,Ritco Logistics,2
SADHAV,Sadhav Shipping,3
SCI,S C I,1
SEAMECLTD,SEAMEC Ltd,1
SHADOWFAX,Shadowfax Technologies,1
SHREEJISPG,Shreeji Ship. Gl,1
SHREEOSFM,Shree OSFM,3
SICALLOG,Sical Logistics,2
SINDHUTRAD,Sindhu Trade,1
SJLOGISTIC,S J Logistics (I,2
SNOWMAN,Snowman Logistic,2
SPICEJET,SpiceJet,1
SVLL,Shree Vasu Logis,2
TCI,Transport Corp.,1
TCIEXP,TCI Express,1
TEJASCARGO,Tejas Cargo,2
TIGERLOGS,Tiger Logistics,2
TIMESCAN,Timescan Logist.,4
TOTAL,Total Transport,3
TRANSWORLD,Transworld Shipp,2
TREL,TransIndia Real,2
TVSSCS,TVS Supply,1
VOLERCAR,Voler Car,2
VRLLOG,VRL Logistics,1
WCIL,Western Carriers,1
WTICAB,Wise Travel,3
ZEAL,Zeal Global Serv,3
