symbol,company_name,page
503657,Veer Energy,2
523222,SRM Energy Ltd,2
526025,Globus Power,2
534612,Advance Meter.,2
535719,Ampvolts,2
536709,IND Renewable,2
539013,Gita Renewable,2
539337,Waaree Tech.,2
541445,Waa Solar,2
ACMESOLAR,ACME Solar Hold.,1
ADANIENSOL,Adani Energy Sol,1
ADANIGREEN,Adani Green,1
ADANIPOWER,Adani Power,1
ANZEN,Anzen IYEP Trust,2
CESC,CESC,1
CLEANMAX,Clean Max Enviro,1
DPSCLTD,India Power Corp,2
ENERGYDEV,Energy Devl.Co.,2
GIPCL,Guj Inds. Power,2
GMRP&UI,GMR Urban,1
GREENPOWER,Orient Green,2
INA,Insolation Ener,2
INDIGRID,IndiGrid Trust,1
INDOWIND,Indowind Energy,2
INOXGREEN,Inox Green,1
JPPOWER,JP Power Ven.,1
JSWENERGY,JSW Energy,1
KARMAENG,Karma Energy Ltd,2
KPEL,K.P. Energy,2
KPIGREEN,KPI Green Energy,1
NAVA,Nava,1
NHPC,NHPC Ltd,1
NLCINDIA,NLC India,1
NTPC,NTPC,1
NTPCGREEN,NTPC Green Ene.,1
PGINVIT,Powergrid Infra.,1
POWERGRID,Power Grid Corpn,1
PTC,PTC India,1
RELINFRA,Reliance Infra.,2
RPOWER,Reliance Power,1
RTNPOWER,RattanIndia Pow.,1
SJVN,SJVN,1
SURANAT&P,Surana Telecom,2
TATAPOWER,Tata Power Co.,1
TORNTPOWER,Torrent Power,1
UEL,Ujaas Energy,2
