screener_sector,nifty_industry,symbol_nse,company_name,industry,in_nse_eq
Aerospace & Defense,Capital Goods,NSE:ABB-EQ,ABB India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ACE-EQ,Action Construction Equipment Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:AEQUS-EQ,Aequs Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:AIAENG-EQ,AIA Engineering Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ANUP-EQ,The Anup Engineering Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:APARINDS-EQ,Apar Industries Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:APLAPOLLO-EQ,APL Apollo Tubes Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:APOLLO-EQ,Apollo Micro Systems Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ASHOKLEY-EQ,Ashok Leyland Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ASTRAL-EQ,Astral Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ASTRAMICRO-EQ,Astra Microwave Products Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ATLANTAELE-EQ,Atlanta Electricals Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:AVALON-EQ,Avalon Technologies Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:AXISCADES-EQ,AXISCADES Technologies Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:AZAD-EQ,Azad Engineering Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:BALUFORGE-EQ,Balu Forge Industries Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:BDL-EQ,Bharat Dynamics Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:BEL-EQ,Bharat Electronics Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:BEML-EQ,BEML Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:BHEL-EQ,Bharat Heavy Electricals Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:BORORENEW-EQ,Borosil Renewables Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:CARBORUNIV-EQ,Carborundum Universal Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:CGPOWER-EQ,CG Power and Industrial Solutions Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:COCHINSHIP-EQ,Cochin Shipyard Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:CPPLUS-EQ,Aditya Infotech Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:CUMMINSIND-EQ,Cummins India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:DATAPATTNS-EQ,Data Patterns (India) Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:DIACABS-EQ,Diamond Power Infrastructure Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:DYNAMATECH-EQ,Dynamatic Technologies Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ELECON-EQ,Elecon Engineering Co. Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ELECTCAST-EQ,Electrosteel Castings Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ELGIEQUIP-EQ,Elgi Equipments Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:EMMVEE-EQ,Emmvee Photovoltaic Power Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ENRIN-EQ,Siemens Energy India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:EPL-EQ,EPL Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:ESCORTS-EQ,Escorts Kubota Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:FINCABLES-EQ,Finolex Cables Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:FINPIPE-EQ,Finolex Industries Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GALLANTT-EQ,Gallantt Ispat Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GMMPFAUDLR-EQ,GMM Pfaudler Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GPIL-EQ,Godawari Power & Ispat Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GRAPHITE-EQ,Graphite India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GREAVESCOT-EQ,Greaves Cotton Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GRSE-EQ,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GRWRHITECH-EQ,Garware Hi-Tech Films Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:GVT&D-EQ,GE Vernova T&D India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:HAL-EQ,Hindustan Aeronautics Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:HBLENGINE-EQ,HBL Engineering Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:HEG-EQ,H.E.G. Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:HONAUT-EQ,Honeywell Automation India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:INOXINDIA-EQ,INOX India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:INOXWIND-EQ,Inox Wind Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:JAYNECOIND-EQ,Jayaswal Neco Industries Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:JINDALSAW-EQ,Jindal Saw Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:JWL-EQ,Jupiter Wagons Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:JYOTICNC-EQ,Jyoti CNC Automation Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:KAYNES-EQ,Kaynes Technology India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:KEI-EQ,KEI Industries Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:KIRLOSBROS-EQ,Kirloskar Brothers Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:KIRLOSENG-EQ,Kirloskar Oil Eng Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:KIRLPNU-EQ,Kirloskar Pneumatic Company Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:KRN-EQ,KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:KSB-EQ,KSB Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:LLOYDSENGG-EQ,Lloyds Engineering Works Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:MAHSEAMLES-EQ,Maharashtra Seamless Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:MAZDOCK-EQ,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:MIDHANI-EQ,Mishra Dhatu Nigam Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:MTARTECH-EQ,MTAR Technologies Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:OSWALPUMPS-EQ,Oswal Pumps Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:PARAS-EQ,Paras Defence and Space Technologies Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:POLYCAB-EQ,Polycab India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:POWERINDIA-EQ,Hitachi Energy India Ltd.,Capital Goods,true
Aerospace & Defense,Capital Goods,NSE:PRAJIND-EQ,Praj Industries Ltd.,Capital Goods,true
