screener_sector,nifty_industry
Aerospace & Defense,Capital Goods
Agricultural Food & other Products,Fast Moving Consumer Goods
"Agricultural, Commercial & Construction Vehicles",Automobile and Auto Components
Auto Components,Automobile and Auto Components
Automobiles,Automobile and Auto Components
Banks,Financial Services
Beverages,Fast Moving Consumer Goods
Capital Markets,Financial Services
Cement & Cement Products,Construction Materials
Chemicals & Petrochemicals,Chemicals
Cigarettes & Tobacco Products,Fast Moving Consumer Goods
Commercial Services & Supplies,Consumer Services
Construction,Construction
Consumable Fuels,Oil Gas & Consumable Fuels
Consumer Durables,Consumer Durables
Diversified,Diversified
Diversified FMCG,Fast Moving Consumer Goods
Diversified Metals,Metals & Mining
Electrical Equipment,Capital Goods
Engineering Services,Capital Goods
Entertainment,Media Entertainment & Publication
Ferrous Metals,Metals & Mining
Fertilizers & Agrochemicals,Chemicals
Finance,Financial Services
Financial Technology (Fintech),Financial Services
Food Products,Fast Moving Consumer Goods
Gas,Oil Gas & Consumable Fuels
Healthcare Equipment & Supplies,Healthcare
Healthcare Services,Healthcare
Household Products,Fast Moving Consumer Goods
Industrial Manufacturing,Capital Goods
Industrial Products,Capital Goods
Insurance,Financial Services
IT - Hardware,Information Technology
IT - Services,Information Technology
IT - Software,Information Technology
Leisure Services,Consumer Services
Media,Media Entertainment & Publication
Metals & Minerals Trading,Metals & Mining
Minerals & Mining,Metals & Mining
Non - Ferrous Metals,Metals & Mining
Oil,Oil Gas & Consumable Fuels
Other Construction Materials,Construction Materials
Other Consumer Services,Consumer Services
Other Utilities,Power
"Paper, Forest & Jute Products",Forest Materials
Personal Products,Fast Moving Consumer Goods
Petroleum Products,Oil Gas & Consumable Fuels
Pharmaceuticals & Biotechnology,Healthcare
Power,Power
Printing & Publication,Media Entertainment & Publication
Realty,Realty
Retailing,Consumer Services
Telecom - Equipment & Accessories,Telecommunication
Telecom - Services,Telecommunication
Textiles & Apparels,Textiles
Transport Infrastructure,Services
Transport Services,Services
