symbol_nse,note
NSE:20MICRONS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:21STCENMGM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:3IINFOLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:3PLAND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:5PAISA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:5PAISA-RE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:63MOONS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:A2ZINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AAATECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AAKASH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AAREYDRUGS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AARNAV-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AARON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AARTECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AARTISURF-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:AARVI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ABAN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ABCOTS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ABHISHEK-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ABINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ABMINTLLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
