symbol_nse,company_name,industry,isin,source_csv
NSE:360ONE-EQ,360 ONE WAM Ltd.,Financial Services,INE466L01038,nifty500.csv
NSE:3MINDIA-EQ,3M India Ltd.,Diversified,INE470A01017,nifty500.csv
NSE:AADHARHFC-EQ,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010,nifty500.csv
NSE:AARTIDRUGS-EQ,Aarti Drugs Ltd.,Healthcare,INE767A01016,nifty_total_market.csv
NSE:AARTIIND-EQ,Aarti Industries Ltd.,Chemicals,INE769A01020,nifty500.csv
NSE:AARTIPHARM-EQ,Aarti Pharmalabs Ltd.,Healthcare,INE0LRU01027,nifty_total_market.csv
NSE:AAVAS-EQ,Aavas Financiers Ltd.,Financial Services,INE216P01012,nifty500.csv
NSE:ABB-EQ,ABB India Ltd.,Capital Goods,INE117A01022,nifty500.csv
NSE:ABBOTINDIA-EQ,Abbott India Ltd.,Healthcare,INE358A01014,nifty500.csv
NSE:ABCAPITAL-EQ,Aditya Birla Capital Ltd.,Financial Services,INE674K01013,nifty500.csv
NSE:ABDL-EQ,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,INE552Z01027,nifty_total_market.csv
NSE:ABFRL-EQ,Aditya Birla Fashion and Retail Ltd.,Consumer Services,INE647O01011,nifty500.csv
NSE:ABLBL-EQ,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,INE14LE01019,nifty500.csv
NSE:ABREL-EQ,Aditya Birla Real Estate Ltd.,Forest Materials,INE055A01016,nifty500.csv
NSE:ABSLAMC-EQ,Aditya Birla Sun Life AMC Ltd.,Financial Services,INE404A01024,nifty500.csv
NSE:ACC-EQ,ACC Ltd.,Construction Materials,INE012A01025,nifty500.csv
NSE:ACE-EQ,Action Construction Equipment Ltd.,Capital Goods,INE731H01025,nifty500.csv
NSE:ACI-EQ,Archean Chemical Industries Ltd.,Chemicals,INE128X01021,nifty_total_market.csv
NSE:ACMESOLAR-EQ,ACME Solar Holdings Ltd.,Power,INE622W01025,nifty500.csv
