symbol,signal_month_end,rsi2_monthly,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,bars_held
NSE:3MINDIA-EQ,2021-05-31T00:00:00+00:00,0.0,2021-05-31T00:00:00+00:00,25536.2,2022-06-03T00:00:00+00:00,21290.4,-16.6266,TIMEOUT,252
NSE:AARTIIND-EQ,2023-03-31T00:00:00+00:00,1.5443,2023-03-31T00:00:00+00:00,518.15,2023-12-26T00:00:00+00:00,633.1,22.1847,TP20_CLOSE,181
NSE:AAVAS-EQ,2023-04-30T00:00:00+00:00,1.5233,2023-04-28T00:00:00+00:00,1387.2,2023-09-07T00:00:00+00:00,1670.1,20.3936,TP20_CLOSE,91
NSE:ABB-EQ,2025-01-31T00:00:00+00:00,1.3304,2025-01-31T00:00:00+00:00,5874.65,2026-02-06T00:00:00+00:00,5816.0,-0.9984,TIMEOUT,252
NSE:ABSLAMC-EQ,2021-12-31T00:00:00+00:00,0.0,2021-12-31T00:00:00+00:00,531.35,2023-01-05T00:00:00+00:00,449.75,-15.3571,TIMEOUT,252
NSE:ACMESOLAR-EQ,2025-01-31T00:00:00+00:00,0.0,2025-01-31T00:00:00+00:00,215.15,2025-05-30T00:00:00+00:00,263.55,22.4959,TP20_CLOSE,79
NSE:ADANIENSOL-EQ,2023-02-28T00:00:00+00:00,1.4059,2023-02-28T00:00:00+00:00,642.9,2023-03-06T00:00:00+00:00,781.35,21.5352,TP20_CLOSE,4
NSE:ADANIENSOL-EQ,2025-02-28T00:00:00+00:00,0.8463,2025-02-28T00:00:00+00:00,650.9,2025-03-12T00:00:00+00:00,781.75,20.1029,TP20_CLOSE,8
NSE:ADANIGREEN-EQ,2023-02-28T00:00:00+00:00,0.7652,2023-02-28T00:00:00+00:00,485.3,2023-03-06T00:00:00+00:00,589.8,21.5331,TP20_CLOSE,4
NSE:ADANIGREEN-EQ,2025-01-31T00:00:00+00:00,1.8721,2025-01-31T00:00:00+00:00,997.55,2026-02-06T00:00:00+00:00,971.85,-2.5763,TIMEOUT,252
NSE:ADANIPOWER-EQ,2023-02-28T00:00:00+00:00,1.6717,2023-02-28T00:00:00+00:00,29.26,2023-03-06T00:00:00+00:00,35.55,21.4969,TP20_CLOSE,4
NSE:AFCONS-EQ,2026-02-28T00:00:00+00:00,1.9694,2026-02-27T00:00:00+00:00,292.15,2026-03-24T00:00:00+00:00,277.0,-5.1857,TIMEOUT,16
NSE:AKUMS-EQ,2024-11-30T00:00:00+00:00,1.2253,2024-11-29T00:00:00+00:00,605.1,2025-12-04T00:00:00+00:00,420.3,-30.5404,TIMEOUT,252
NSE:ALKYLAMINE-EQ,2023-03-31T00:00:00+00:00,1.0371,2023-03-31T00:00:00+00:00,2155.4,2023-06-13T00:00:00+00:00,2664.5,23.6197,TP20_CLOSE,48
NSE:ALKYLAMINE-EQ,2026-02-28T00:00:00+00:00,1.4176,2026-02-27T00:00:00+00:00,1484.3,2026-03-24T00:00:00+00:00,1414.7,-4.6891,TIMEOUT,16
NSE:ALOKINDS-EQ,2022-10-31T00:00:00+00:00,0.825,2022-10-31T00:00:00+00:00,15.5,2023-08-31T00:00:00+00:00,19.85,28.0645,TP20_CLOSE,208
NSE:ALOKINDS-EQ,2025-01-31T00:00:00+00:00,1.0788,2025-01-31T00:00:00+00:00,18.69,2026-02-06T00:00:00+00:00,15.99,-14.4462,TIMEOUT,252
NSE:ALOKINDS-EQ,2026-02-28T00:00:00+00:00,1.0438,2026-02-27T00:00:00+00:00,14.3,2026-03-24T00:00:00+00:00,12.63,-11.6783,TIMEOUT,16
NSE:AMBER-EQ,2021-05-31T00:00:00+00:00,0.0,2021-05-31T00:00:00+00:00,2727.75,2021-10-01T00:00:00+00:00,3440.4,26.1259,TP20_CLOSE,86
NSE:AMBUJACEM-EQ,2022-03-31T00:00:00+00:00,1.9367,2022-03-31T00:00:00+00:00,299.25,2022-04-11T00:00:00+00:00,360.2,20.3676,TP20_CLOSE,7
NSE:ANANDRATHI-EQ,2022-02-28T00:00:00+00:00,0.0,2022-02-28T00:00:00+00:00,279.5,2022-04-18T00:00:00+00:00,349.6,25.0805,TP20_CLOSE,31
NSE:APLAPOLLO-EQ,2021-05-31T00:00:00+00:00,0.0,2021-05-31T00:00:00+00:00,650.58,2021-06-17T00:00:00+00:00,782.2,20.2312,TP20_CLOSE,13
NSE:APLLTD-EQ,2022-09-30T00:00:00+00:00,1.8537,2022-09-30T00:00:00+00:00,604.65,2023-07-27T00:00:00+00:00,732.5,21.1445,TP20_CLOSE,203
NSE:APLLTD-EQ,2026-02-28T00:00:00+00:00,1.3642,2026-02-27T00:00:00+00:00,711.2,2026-03-24T00:00:00+00:00,673.2,-5.3431,TIMEOUT,16
NSE:APTUS-EQ,2026-02-28T00:00:00+00:00,0.4288,2026-02-27T00:00:00+00:00,244.0,2026-03-24T00:00:00+00:00,200.31,-17.9057,TIMEOUT,16
